dataset,learning_rate,batch_size,epsilon,logP,logB,logG2,logTau,logLR,logN,T_star,converged,censored_reason,logInitLoss,logFinalLoss,cnn_family,depth_signature,downsample_type
MNIST,0.0005,32,0.15,11.552549942753446,3.4657359027997265,0.1611393653712862,0.2634099086323214,-7.600902459542082,11.002099841204238,30,True,,0.8904352004663332,-1.0184534870556583,vgg_lite,"[2, 1, 1]",pool
MNIST,0.0005,32,0.15,11.552549942753446,3.4657359027997265,0.12117808181733265,0.2328993154503898,-7.600902459542082,11.002099841204238,27,True,,0.8223221009787806,-1.10499253402194,vgg_lite,"[2, 1, 1]",pool
MNIST,0.0005,32,0.15,13.453992476373477,3.4657359027997265,0.32441326763432277,0.433431455794869,-7.600902459542082,11.002099841204238,10,True,,0.9303442347661839,-1.1461050311841114,resnet_mini,"[2, 2, 2]",proj_block
MNIST,0.0005,32,0.15,13.453992476373477,3.4657359027997265,0.2930578999724616,0.3847300004593159,-7.600902459542082,11.002099841204238,10,True,,0.905954310605645,-1.1129662564847256,resnet_mini,"[2, 2, 2]",proj_block
MNIST,0.0005,32,0.15,11.856756275043766,3.4657359027997265,0.05744768797483739,0.16303064114458615,-7.600902459542082,11.002099841204238,23,True,,0.8238744339479942,-1.1288898733298571,vgg_lite,"[2, 2, 1]",pool
MNIST,0.0005,32,0.15,13.453992476373477,3.4657359027997265,0.2606606263737337,0.3651634745988498,-7.600902459542082,11.002099841204238,9,True,,0.8977113779855044,-1.051864834028455,resnet_mini,"[2, 2, 2]",proj_block
MNIST,0.0005,32,0.15,11.459123764001873,3.4657359027997265,0.6122513479094862,0.7275988147956322,-7.600902459542082,11.002099841204238,35,True,,0.8245587089407183,-1.1470787819680215,vgg_lite,"[1, 1, 1]",pool
MNIST,0.0005,32,0.15,11.459123764001873,3.4657359027997265,0.523256684852911,0.6264086815701556,-7.600902459542082,11.002099841204238,33,True,,0.8840099017051506,-1.0281480627723925,vgg_lite,"[1, 1, 1]",pool
MNIST,0.0005,32,0.15,11.459123764001873,3.4657359027997265,0.6564428815361878,0.756962048268621,-7.600902459542082,11.002099841204238,32,True,,0.8353296434047864,-1.0640044300465157,vgg_lite,"[1, 1, 1]",pool
MNIST,0.0005,32,0.15,11.856756275043766,3.4657359027997265,0.06478020832120901,0.16643517432659885,-7.600902459542082,11.002099841204238,21,True,,0.833666157379684,-1.0717829040008964,vgg_lite,"[2, 2, 1]",pool
